mS,theta2
0.1010121730532967,8.456082163576044e-8
0.10308196676324852,8.291233367490405e-8
0.10534156214744696,8.147205509879282e-8
0.1051928603627942,8.12899757319993e-8
0.10749848904313355,7.972927653495358e-8
0.10734863871901729,7.9681572292431e-8
0.10969840874117347,7.80581733734058e-8
0.10954714025779863,7.81032317263639e-8
0.11194711308766221,7.647622839602195e-8
0.11179346199619113,7.656350381696614e-8
0.11423873328370333,7.49504531166533e-8
0.11408166545670556,7.504935865478131e-8
0.11658111662240567,7.345072960770232e-8
0.11641914167750153,7.35321898193012e-8
0.11896771730549299,7.200550921339061e-8
0.11880265758190117,7.204493101277857e-8
0.12140617919535764,7.05692836107599e-8
0.12123390878530443,7.052402045565504e-8
0.1238919226437688,6.918166043704607e-8
0.12372021808373856,6.900249838551562e-8
0.12643090290062386,6.785379349157868e-8
0.12902133400215596,6.653504794076605e-8
0.13166437051489635,6.522415422673032e-8
0.13436197677784764,6.39587449148991e-8
0.137115104065262,6.273923010577769e-8
0.14011992131049764,6.1732714714629e-8
0.13992437957203038,6.153862714066376e-8
0.14298838145213444,6.04461253861206e-8
0.14279149650634948,6.035365174379426e-8
0.14592118911778193,5.9174581194793584e-8
0.14571604806292512,5.9172151840456604e-8
0.14890984334892046,5.796161002905835e-8
0.14870338678633138,5.800724563637949e-8
0.1519527761875016,5.6789101965303075e-8
0.1517459732817383,5.6859214062792956e-8
0.15506974229489667,5.564090312803288e-8
0.15485753157545787,5.5708318966100104e-8
0.1582463393223538,5.45510235802478e-8
0.15803006495236227,5.459090429164277e-8
0.16148768600163027,5.349204063037032e-8
0.16126537129794494,5.34850902188105e-8
0.16479829232912055,5.244552509659514e-8
0.16456804196048247,5.236557727862538e-8
0.16817344159995326,5.1427870734535736e-8
0.16793578566479395,5.1268189105582945e-8
0.17161986064783108,5.0425175145475655e-8
0.17513522495872788,4.946286148156406e-8
0.178724308711226,4.852779289360415e-8
0.18238663637749752,4.760315457480725e-8
0.18612335238123906,4.669311296950249e-8
0.1902016347271414,4.5899063350654815e-8
0.18993750836008116,4.579148327382266e-8
0.1940920053124686,4.4946221951070065e-8
0.19382827919939014,4.4909167752446325e-8
0.19807827808814463,4.401649277436631e-8
0.19780048627237923,4.4033673875136045e-8
0.20212152064117633,4.3150061610383386e-8
0.2018564534297542,4.3187327104449304e-8
0.20627509646476913,4.227818687157067e-8
0.205984323329595,4.2336569491622696e-8
0.21299176482286228,5.01886288487523e-9
0.21183736337069212,6.580894410095812e-9
0.21114300673021005,8.706493748095881e-9
