mS_sol,theta_sol
0.21478583117778455,0.0930677435478422
0.215975416756221,0.08347602627780064
0.21781504275646477,0.07775933348137481
0.2190238681946765,0.06977453288830347
0.21912850892764274,0.06042977255095989
0.2201403292705911,0.053383295281880586
0.2217588202704574,0.04940257237019477
0.2233278112159625,0.04525383308689971
0.22463028154317408,0.039950911108352805
0.22616811703706236,0.03689027341890888
0.22814222775744758,0.03395100032570569
0.2300669853642768,0.030956657966344413
0.2319213500278144,0.028738256808432304
0.23424082103077515,0.026331082593243352
0.23632817210276327,0.024513545228151967
0.23876622332854458,0.022780194903595712
0.24147992811241412,0.021200696754519428
0.2439327069172134,0.01992868540413418
0.24701640945237258,0.01861119475465177
0.24982453884375058,0.01780629145868031
0.25271958876904543,0.01655839975443879
0.25601651304142187,0.01542090980091797
0.25863774866417477,0.014823438834555417
0.2628467535325936,0.013996973357487839
0.2662123737140915,0.013797594962834971
0.26892427183945544,0.01264035131163427
0.27377434597826517,0.012050300248247348
0.2768452314882082,0.011963376604000696
0.2788607589689743,0.010658913315645096
0.2797741204408629,0.009305620163545116
0.2798337110924597,0.00805846506562308
0.28070848741840865,0.007029703878618803
0.2842397758945549,0.006676260022619111
0.2847397514007339,0.0059952746937477165
0.28703700411586835,0.005354922816154011
0.28928298763364546,0.004970419043102404
0.2923763369434941,0.004635840548788815
0.29586711626767037,0.004301563457824357
0.2987762459314526,0.004083182201787896
0.30304515078987804,0.0038304806821465188
0.30653185001387634,0.003753340205137825
0.310135214800847,0.0034562186729242884
0.31543117434024404,0.0032744582632433543
0.3184151054766009,0.0031933292152579863
0.3229127958715484,0.0029805733285900604
0.3290264873867204,0.0028625328094190232
0.33364589933299565,0.00268226265085961
0.33679226149846686,0.002635636898343257
0.34295629975070324,0.002527754007555361
0.34898551983175036,0.002412438830989608
0.35166126510888446,0.002357404072248875
0.35747735982709966,0.0022394578777011754
0.3644808483830411,0.0021718086074601537
0.370710437817922,0.0020650551715301166
0.37342932700326154,0.002020823247341769
0.3799456576229452,0.0019291553462477387
0.38739186807679443,0.0018712766406174441
0.39427735176809653,0.0017810644129021625
0.39680939981828023,0.0017530924429858545
0.40394490673973327,0.0016814953079845212
0.41177973370632875,0.0016266191780155554
0.41932540876535507,0.0015436212601466492
0.42177007382477255,0.001523736386816339
0.42944353757451575,0.001456467692906979
0.43792027899771035,0.0014157876902209485
0.44619909439334227,0.0013641035521392943
0.4490947196690326,0.0013519890722583777
0.45673642819059573,0.0012784079321701608
0.465616179524255,0.0012361360844663988
0.47478834449682,0.0011972134712401642
0.4829829716127012,0.0011366624750308598
0.48601192415603917,0.001126010476045692
0.4951528062750532,0.001084437761403832
0.5050210884975024,0.0010572692247678797
0.5147980443448658,0.0010235375990828284
0.5176988284247962,0.0010202973536655596
0.5268938699119963,0.0009610669759509936
0.5370711366931061,0.000931076791201873
0.5477853048070163,0.0009082909769556048
0.5582222932155297,0.0008754297887871815
0.5610701870067021,0.0008680892486890543
0.5714229092022627,0.0008251726139802056
0.5825716100282263,0.0008004875798177745
0.5940973114069624,0.0007786957994004213
0.6048976612330305,0.0007435475139418391
0.6081870417635523,0.0007367121204918329
0.6196707054611575,0.0007091741030371046
0.6320142809737892,0.0006916348279931775
0.644326776895401,0.000671486514305754
0.6560352592761898,0.0006363243704505135
0.6595650954237561,0.0006329741393943552
0.672194744719065,0.0006112932338177937
0.6854437058036388,0.0005940711049700721
0.6982710215337969,0.0005698015228764747
0.7023588765366237,0.0005633377212054843
0.7149337562954833,0.0005371574550530521
