mS,theta2
0.10308196676324852,8.291233367490405e-8
0.1051928603627942,8.12899757319993e-8
0.10734863871901729,7.9681572292431e-8
0.10954714025779863,7.81032317263639e-8
0.11179346199619113,7.656350381696614e-8
0.11408166545670556,7.504935865478131e-8
0.11423873328370333,7.49504531166533e-8
0.11658111662240567,7.345072960770232e-8
0.11896771730549299,7.200550921339061e-8
0.12140617919535764,7.05692836107599e-8
0.1238919226437688,6.918166043704607e-8
0.12643090290062386,6.785379349157868e-8
0.12902133400215596,6.653504794076605e-8
0.13166437051489635,6.522415422673032e-8
0.13436197677784764,6.39587449148991e-8
0.137115104065262,6.273923010577769e-8
0.13992437957203038,6.153862714066376e-8
0.14279149650634948,6.035365174379426e-8
0.14571604806292512,5.9172151840456604e-8
0.14870338678633138,5.800724563637949e-8
0.1517459732817383,5.6859214062792956e-8
0.15485753157545787,5.5708318966100104e-8
0.15506974229489667,5.564090312803288e-8
0.1582463393223538,5.45510235802478e-8
0.16148768600163027,5.349204063037032e-8
0.16479829232912055,5.244552509659514e-8
0.16817344159995326,5.1427870734535736e-8
0.17161986064783108,5.0425175145475655e-8
0.17513522495872788,4.946286148156406e-8
0.178724308711226,4.852779289360415e-8
0.18238663637749752,4.760315457480725e-8
0.18612335238123906,4.669311296950249e-8
0.18993750836008116,4.579148327382266e-8
0.19382827919939014,4.4909167752446325e-8
0.19780048627237923,4.4033673875136045e-8
0.2018564534297542,4.3187327104449304e-8
0.205984323329595,4.2336569491622696e-8
0.20627509646476913,4.227818687157067e-8
0.20878810716714694,3.5974511997029256e-8
0.20952146646323866,2.7216779709327658e-8
0.20999309278319317,2.0490823197465818e-8
0.21034667016082137,1.5397502116921526e-8
0.2106930063659935,1.1568807985781701e-8
0.21114300673021005,8.706493748095881e-9
0.21183736337069212,6.580894410095812e-9
0.21299176482286228,5.01886288487523e-9
0.21314420597906258,4.756827135712258e-9
0.2141795361467423,3.6253631362910093e-9
0.2150631925229889,2.752216462885498e-9
0.2160602773637389,2.095234258067343e-9
0.2174820024513166,1.6115975684201785e-9
0.21848148671140924,1.4992964471791362e-9
0.22053452238089877,1.2246993752206049e-9
0.22236283329325587,1.062319394745198e-9
0.22463921544326926,9.252429634174982e-10
0.22738384111631055,8.034529004276251e-10
0.22957786712017228,7.308275266783126e-10
0.23287887547485453,6.457884567607345e-10
0.2367305906398518,5.712360542079865e-10
0.23857579466595236,5.429933457121793e-10
0.2426590255707708,4.898982942303377e-10
0.24706416906767542,4.4502597550723736e-10
0.24863569517851425,4.317594313140265e-10
0.2531631544966224,3.962324130414975e-10
0.2579305501815708,3.665965353614361e-10
0.2628924778047026,3.409469073326593e-10
0.26801343595306726,3.1808636331342435e-10
0.26924739020974203,3.13209464160103e-10
0.27447022556424683,2.941850614295429e-10
0.2779512279780335,2.6092084899061805e-10
0.2802858100091922,2.0788222070155344e-10
0.28278387803718297,1.6634953247687703e-10
0.285187456840856,1.5036124223565555e-10
0.2880961911562333,1.34988107423537e-10
0.2919668321708034,1.2210987668680265e-10
0.2971511448377757,1.1077475333120778e-10
0.30282909822584625,1.0174535323665518e-10
0.3044021784651015,9.973416433904233e-11
0.31020811978912427,9.279211074754488e-11
0.3162185316204413,8.697839895601607e-11
