mS,theta2
0.10309745621127248,4.813769577681132e-7
0.10521034159098998,4.7198134031993516e-7
0.10736676132851186,4.6323697423392625e-7
0.10956583388435373,4.5441666661707816e-7
0.11181051608561493,4.4549276041942473e-7
0.11410188392103918,4.367816093085372e-7
0.1164445239129686,4.2875558759791025e-7
0.11882012893370958,4.2025004674065273e-7
0.11899303520446931,4.1962326338012057e-7
0.12142362178304421,4.1124553869333294e-7
0.12391109149780222,4.0367182598075813e-7
0.12645365897773753,3.958019090964755e-7
0.12904323266580583,3.8808163041100225e-7
0.1316866592442339,3.807672447261351e-7
0.1343861593272227,3.7367196191630733e-7
0.13713984220555567,3.663679017989477e-7
0.1399502187019525,3.593232430606739e-7
0.1428173899819071,3.5262259187073655e-7
0.1457451175716574,3.459224586099859e-7
0.14873182674564234,3.394918142040254e-7
0.1517796466573569,3.3302119757347185e-7
0.15489017825171159,3.266099400491242e-7
0.15805908312813555,3.2013220589824795e-7
0.16131189678032107,3.1387476287115714e-7
0.16151554247232786,3.135482128092829e-7
0.16483051518435407,3.0753040401850157e-7
0.16820175982507954,3.01749701756449e-7
0.17165208082926647,2.9612592124837835e-7
0.1751728813712498,2.903660522315854e-7
0.17875776492079945,2.849752096591754e-7
0.18242506042800363,2.7979804784734594e-7
0.18616308865465653,2.745423693593067e-7
0.1899790740480353,2.695023471860625e-7
0.19387436554745338,2.646512721026669e-7
0.19784666362678813,2.5980900288211083e-7
0.20189974537538558,2.5491855646210376e-7
0.20604192578959407,2.501684735098027e-7
0.20783183602820976,2.6597981717171e-7
0.2089382423008508,2.0274129178034813e-7
0.20960991578833696,1.5319556358245487e-7
0.21004837253078287,1.1527524296658063e-7
0.21038395257041184,8.660296201806163e-8
0.21072457472858763,6.506677913085518e-8
0.21117875134865977,4.897086612753747e-8
0.21188675180528777,3.7027961382683904e-8
0.21307499146239356,2.8257007965324442e-8
0.2132108060811025,2.6778627791406058e-8
0.21423176737163063,2.0401648950640456e-8
0.21511629964943327,1.5488387043723603e-8
0.21612741812988626,1.1795182331986681e-8
0.21758190850139908,9.081905031341856e-9
0.2186069377077319,8.474185849924651e-9
0.22067968013820638,6.9355762310236245e-9
0.22253128097312794,6.041329740259583e-9
0.2248083284265347,5.260801784713221e-9
0.22755216720328528,4.5830232572675265e-9
0.22975533997385514,4.174095378165554e-9
0.23304075428210017,3.6965193445074762e-9
0.2368810577474575,3.277538855038114e-9
0.23872525287800747,3.115694172110802e-9
0.24280547053329776,2.816712237198365e-9
0.24721349178617705,2.56474451693413e-9
0.25185834981135324,2.344207790472579e-9
0.25329903708328355,2.2879953588650122e-9
0.2580694549812216,2.1201648768655625e-9
0.2630302366566372,1.9742140473923433e-9
0.26815519432304846,1.8436831365578956e-9
0.26937851700453885,1.8168621706683272e-9
0.27459632912016757,1.7071738647512595e-9
0.2781979829827837,1.4786677346552997e-9
0.2804857909353046,1.174631383541967e-9
0.2830021056147646,9.385303008583899e-10
0.2853784380949699,8.556959737120507e-10
0.28988914497255097,7.319906128340696e-10
0.29212166202923817,6.977487470800134e-10
0.29726833603266684,6.333285993496056e-10
0.3029668949619368,5.831293787737402e-10
0.3044929445812019,5.726779602274739e-10
0.3103284800256188,5.325371674939754e-10
0.31631868439854577,4.992240481772032e-10
0.32254343017930376,4.706841966521206e-10
0.32902439614479373,4.4664531555105e-10
0.3354370856060248,4.244228073661717e-10
0.3368271546717477,4.1919744246651127e-10
0.3433770458835398,3.986942890617261e-10
0.3502853748615169,3.8007432110388077e-10
0.357286343374861,3.626263065021162e-10
0.36448604442456656,3.475244692172808e-10
0.371747663474786,3.3246511803882055e-10
0.379339192253048,3.177388940469806e-10
0.38035277161737174,3.161441205727906e-10
0.38807074615014936,3.031861148373889e-10
0.39587956850044537,2.907908047288741e-10
0.403857768820542,2.7982913306394255e-10
0.41198757047039686,2.68286775073598e-10
0.42033047195200274,2.5707695094529127e-10
0.42887029186598524,2.481095794590109e-10
0.43747086770061233,2.3908974578674596e-10
0.43871017083742203,2.377460639006168e-10
0.4475048831353853,2.2876962095321757e-10
0.4565819975905347,2.2068288815315698e-10
0.46583452728888075,2.122845087710496e-10
0.4752556107231858,2.0496033947498833e-10
0.48490949930779664,1.9859022975326402e-10
0.4946844062990174,1.9146733770359383e-10
0.5048760761517304,1.8495876501756353e-10
0.5150282733707096,1.7942268077546668e-10
0.5162513572265446,1.787231002702711e-10
0.5267922853083984,1.7228456052713958e-10
0.5373658362410847,1.6658116425514596e-10
0.5483416994887742,1.6120361745154692e-10
0.5594491229491305,1.5537108592201977e-10
0.570755033785136,1.4953965736321603e-10
0.5823800040956062,1.4437176292597447e-10
0.594214636238561,1.3992972486419955e-10
0.6062134479572785,1.352903995072921e-10
0.6077159094184771,1.3472825417738924e-10
0.6200328107736611,1.2989302709750513e-10
0.6325412424581257,1.2566276477102857e-10
0.6454519541133688,1.2162064112140457e-10
0.6585322937804825,1.174160789178431e-10
0.6719094348960656,1.1365115774879008e-10
0.685498239149444,1.0984436174692943e-10
0.6993654370478166,1.0577863180531474e-10
0.7135595621364527,1.0188316626578782e-10
0.7153650353542957,1.0144325382595275e-10
0.7299972690149953,9.724883368571284e-11
0.7446083819519186,9.32168190577445e-11
0.7596380462414991,8.935421880831581e-11
0.7748547103451123,8.526719667949072e-11
0.790415058103227,8.136755159760072e-11
0.805941453098676,7.741985623847508e-11
0.8091667706461849,7.655985081358465e-11
0.8250128862464443,7.244857973428356e-11
0.8415179671807428,6.816689342193167e-11
0.8578468106283273,6.37665961887943e-11
