mS,theta2
0.10505469141159955,1.7723300223969268e-8
0.103814389103788,1.792049195068207e-8
0.1143247283527619,1.624076611445467e-8
0.11295111417530038,1.6297620274929742e-8
0.12443958876892584,1.4967137918451478e-8
0.12290129072988461,1.4654005286994215e-8
0.13546871075526398,1.384193546456749e-8
0.14748123830742502,1.2822705382421728e-8
0.16255990540443235,1.2119253967433025e-8
0.16055824516195005,1.1874478065085831e-8
0.1768637660821215,1.0909834912839476e-8
0.17476144745495853,1.0948752456383352e-8
0.19239723576256915,9.959428781018656e-9
0.19026977663165534,1.0056223454931168e-8
0.22438291076119107,2.8294299379163405e-10
0.21436057653990975,4.391053244899763e-10
0.21056958137018914,7.547616692094644e-10
0.2090819856536599,1.3344680201434485e-9
0.20820750707780206,2.3698446426660785e-9
0.20679135224074768,4.1921087089336345e-9
0.20327915068404895,7.220730427073443e-9
0.2208044804110624,0.001047996925928395
0.21097190236471103,0.0013614186781508377
0.20862704140058239,0.0023713737056616554
0.20862704140039534,0.004216965034285823
0.20862704139891328,0.007498942093324557
0.23351176528718234,1.461471567153559e-10
0.22528475663756323,2.2952493504727116e-10
0.21541136837835492,3.4384970375729636e-10
0.23241065980319908,0.00015119461401023995
0.2274207749397619,0.00023713498022164337
0.22725047721405836,0.00042166441747200085
0.22383557751320585,0.000720001384869763
0.2526991983506345,8.882856427389901e-11
0.24246722890732025,1.0861350719549713e-10
0.2616446109878103,3.132009909276989e-5
0.24936452858689778,4.282889025116281e-5
0.24641812905564123,7.52449380566177e-5
0.2420133017729092,0.00011322851611990768
0.27663312527175293,4.8132948281932145e-11
0.2650052411930457,6.650953618944964e-11
0.27657933561274034,4.837959654892949e-6
0.2707286162549328,7.498708775727799e-6
0.2701197187527789,1.3328936943931987e-5
0.26534258738115213,2.2584785190304142e-5
0.3014771632321604,2.7947352840067354e-11
0.28879147039093434,3.608406515382138e-11
0.3025266632175887,1.5517508384584795e-6
0.2957274018168725,2.3725103303462723e-6
0.28906032421871775,3.630592643232177e-6
0.33096560911193856,2.089391340783669e-11
0.3200754562044603,2.2048703282166595e-11
0.33929242261241194,5.868149512058393e-7
0.3255968043421551,7.669671721513101e-7
0.31506758318816225,1.1650714603225219e-6
0.35460981892076515,1.6883081989930933e-11
0.34568933393198187,1.7820522131191427e-11
0.35002597343023584,4.1618645692191916e-7
0.38344351666058235,1.4292189262531598e-11
0.3855786143822268,2.612538987148181e-7
0.3732365947117644,2.8407973037346314e-7
0.4155395521933701,1.2326472527913493e-11
0.4235887320584053,1.5296158693657746e-7
0.4054078042457337,2.010310042682007e-7
0.4600882450110281,1.0307581582990263e-11
0.45068528753404513,1.0648550694875002e-11
0.45292996323805357,1.2314840156019735e-7
0.49841864024973415,8.95860192075009e-12
0.489274451837274,9.1023913323879e-12
0.49462624436657665,7.398469403167108e-8
0.46790037910360144,1.0564537176853598e-7
0.5413292299598389,7.914079899199063e-12
0.5629104374909489,6.494342624246043e-8
0.5403547611111411,6.169874073284978e-8
0.5879139689520825,7.0156574924884005e-12
0.6057061137483272,3.6765285912338413e-8
0.5854827917847473,4.067718498270537e-8
0.561377607850803,5.312497598276961e-8
0.6502594783552447,6.086885241910916e-12
0.6385139530811316,6.206218710990523e-12
0.6727812848660126,2.0336722649472908e-8
0.6410800927931902,2.342380417365421e-8
0.612719490956014,2.9152784945675586e-8
0.7058960036209331,5.260097195646736e-12
0.6924426737350947,5.398496404001432e-12
