1,2
1,3
3,5
5,7
7,8
8,10
10,12
12,14
13,14
13,21
16,17
16,29
17,18
18,19
19,20
20,21
22,23
22,33
23,24
24,25
25,26
27,28
27,35
28,29
30,31
30,39
31,32
32,33
34,35
34,41
36,37
36,45
37,38
38,39
40,41
40,47
42,43
42,50
43,44
44,45
46,47
46,52
48,49
48,53
49,50
52,55
53,58
54,55
54,59
56,57
56,61
57,58
59,62
60,61
60,64
62,66
64,69
65,66
65,70
67,68
67,73
68,69
70,74
73,76
74,77
75,76
75,79
77,81
78,79
78,83
81,85
83,87
84,85
84,88
86,87
86,91
88,93
90,91
90,96
93,98
95,96
95,102
97,98
97,104
99,100
99,106
100,101
101,102
104,108
105,109
106,109
108,112
109,110
110,111
111,114
112,115
114,117
115,118
117,121
118,122
121,125
122,123
123,127
125,129
127,130
128,129
128,131
130,134
131,135
133,134
133,137
135,139
137,140
139,143
140,144
142,143
142,147
144,148
146,147
146,149
148,151
149,153
151,154
152,153
152,157
154,158
156,157
156,161
158,162
159,160
159,167
160,161
162,163
163,164
164,165
165,166
166,167
