mS,theta2
0.10506329351025953,1.7751980814331906e-8
0.11431404515579531,1.626013923372943e-8
0.12444655921251424,1.499017804619154e-8
0.1354720040975265,1.3858625761698734e-8
0.14747932609088782,1.2826849342168666e-8
0.1605656525104205,1.1873696630486266e-8
0.1747604283595366,1.0958995825924728e-8
0.19027113255407085,1.0063140483998996e-8
0.1924385631162271,9.962613101922055e-9
0.20326582972659532,7.220900341250721e-9
0.20678650072808147,4.191830031964121e-9
0.20820977702005933,2.369854354343471e-9
0.20908476796684922,1.33447576184318e-9
0.210565778630184,7.547129982136757e-10
0.21434379672124654,4.3907091303658875e-10
0.2153972806267102,3.434335041751693e-10
0.2252735869689006,2.294820713153363e-10
0.23351617758211451,1.4626126530999032e-10
0.24253802986802206,1.0878169871519402e-10
0.25276902177995875,8.890427813119565e-11
0.26498292355662345,6.653179449076048e-11
0.2766060196754655,4.8136994016449706e-11
0.2887784873802581,3.608434869821929e-11
0.30146468385990915,2.7938259734107526e-11
0.3200825896466266,2.2046503626794233e-11
0.345811256356775,1.7848251731278792e-11
0.35469681697768507,1.691084009979089e-11
0.3834552692721537,1.429197938123363e-11
0.4154881882842173,1.2304774628229429e-11
0.4506317719519147,1.061472444332178e-11
0.45991967646974546,1.0277549127346746e-11
0.49842164684340384,8.952491224474522e-12
0.5413225515697967,7.959925480898997e-12
0.5883157945802826,7.1333151528577626e-12
0.6394009814232491,6.382556769738723e-12
0.6937584232552988,5.6258893028973976e-12
0.7067481689438024,5.473583904441291e-12
0.7673236571718213,4.7213175946951e-12
0.8296578851752914,3.9616839749107255e-12
0.8807021218811066,3.1711507127890773e-12
0.9186455810426707,2.6301651291831524e-12
0.9858881114071818,2.111431860906115e-12
1.0813893219830673,2.326323218212321e-12
1.1712170547737715,2.8526164486682364e-12
1.2860319219319447,2.9823468426685443e-12
1.3964673951369575,2.9891031662497528e-12
1.519919529276199,3.136495478110678e-12
1.5325989299008724,3.1527003265541377e-12
1.6739770894128974,3.5012281849041798e-12
1.818020334427907,3.957648877386157e-12
1.956444343047262,3.712136385896517e-12
2.031142354742012,3.249925979081247e-12
2.1615718298543967,2.9221689705140477e-12
2.3557403484413055,2.8131597211403344e-12
2.567169175278163,2.7191626567617118e-12
2.7977099480405334,2.660346956420101e-12
3.048757429201194,2.645478910234755e-12
3.3102714554035235,2.783309584524722e-12
3.6490282823895623,2.5984323410976504e-12
3.8715538996950065,2.671020145957775e-12
3.964709090961959,4.211696080072872e-12
3.9463517450224934,7.490129864976257e-12
3.9086413924761843,1.3195545175004018e-11
3.8554880544258903,2.3018036095018207e-11
3.739140514909527,3.73069550663225e-11
3.711793596150468,4.450635429427045e-11
3.6118311951161917,7.445354477261733e-11
3.511618373265894,1.2315610601068255e-10
3.4162041066455306,1.6214171068600845e-10
3.2699107891391748,2.0386457982127707e-10
3.1002376099729596,2.697797352956737e-10
2.9686103997616664,3.498007643822402e-10
2.81548445952844,4.5506589271046123e-10
2.6609528034438843,6.192761336910612e-10
2.5466774310324194,6.98312991187378e-10
2.386789225062134,9.064844274926813e-10
2.31051878268781,1.0013832161538337e-9
2.154759522749904,1.3187506503405004e-9
1.9726962463750104,1.5056859982692068e-9
1.8234609503707195,1.537561769979286e-9
1.6718428253076736,1.7317502484882098e-9
1.6573456277236058,1.7481020948580456e-9
1.5183327585570876,1.8628111631735213e-9
1.3918944201213534,2.049066121919122e-9
1.2866217015693489,2.458559505890045e-9
1.1746412030292788,2.4553289348597763e-9
1.1251542587057681,2.043999323991166e-9
1.0826599905532928,1.3232042343962383e-9
1.0444564159520908,8.456922572492747e-10
1.0444564159520908,8.456922572492747e-10
0.9911651626140505,7.831594936238133e-10
0.9502161191835193,8.685363004858717e-10
0.9165333481180901,1.3567779725700506e-9
0.8936445815925262,2.280269935645078e-9
0.8493506076297634,3.0942495812116686e-9
0.8372773344339982,4.320481277741905e-9
0.8013332877675993,6.01912575713078e-9
0.7716019830156984,8.046792042700437e-9
0.7370513342097953,1.0456436663273836e-8
0.7034200641110223,1.3873140480051108e-8
0.658403537764417,1.5945835875346406e-8
0.639333094000464,2.2415773374736512e-8
0.6034903112886844,2.9155339240966945e-8
0.5785251434144562,3.595820309881704e-8
0.5449906353831845,4.6623446794144935e-8
0.5201754255813708,5.265553508589808e-8
0.49431999811956606,6.743767459605853e-8
0.46227869747272116,8.336220621449682e-8
0.4468235807978953,1.2909369017570827e-7
0.4275653859197389,1.5998367617753292e-7
0.414296359248059,2.1323618109427907e-7
0.3877155538516654,2.6929910279205594e-7
0.3708338409291185,3.5392854939111987e-7
0.35949245425463455,4.6697644202579165e-7
0.3485354875919263,7.423131550623189e-7
0.3375792685457944,1.0368104765980466e-6
0.32137027085517333,1.2140499567295282e-6
0.30067365525924766,1.4505341094560024e-6
0.2942643352216632,2.3699698763081076e-6
0.28829171338518916,3.897798519288838e-6
0.28151946898101876,5.2031171156846065e-6
0.2725891442476117,7.560307263330398e-6
0.27017721642386155,1.3330639797577427e-5
0.26435938981048585,2.1683078771067948e-5
0.25709299763786375,2.895505675999684e-5
0.2501765378541941,4.237987410289101e-5
0.24739178087981956,7.476614415680034e-5
0.24014898561070408,0.00010754974606583949
0.2320717375892454,0.0001457706071289872
0.22747694980721445,0.00023713737035337208
0.22741052368757173,0.00042169070954866023
0.22248052295173132,0.0006508219815981188
0.21338764690018552,0.0008677500432849472
0.2087229555695945,0.001333564765300353
0.20862704827855943,0.0023713737056620526
0.20862704140039412,0.004216965034285823
0.20862704139891403,0.007498942093324557
